نمبر شمار,کتاب کا نام,درجہ / شعبہ,مضمون,قسم,مصنف / شارح,PDF لنک
963,تہذیب الکافیہ اردو شرح کافیہ,درجہ ثالثہ,نحو,اردو شرح,مولانا عبد الرحیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/TahzeebUlKafiaUrduSharhKafia.pdf
964,کاشفہ اردو شرح کافیہ,درجہ ثالثہ,نحو,اردو شرح,مولانا کاشف علیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/KashifaUrduSharhKafia.pdf
965,واضحہ اردو شرح کافیہ (جلد دوم),درجہ ثالثہ,نحو,اردو شرح,مولانا محمد انورؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/WAZIHA_URDU_SHARH_KAFIA_VOL_02.pdf
966,بخدمۃ الکافیہ (مکتبہ رشیدیہ),درجہ ثالثہ,نحو,اصل حاشیہ,مولانا عبد الغفور لاریؒ / مولانا رشید احمدؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/BeKhadimaTilKafiaRashedia.pdf
967,غایۃ التحقیق حاشیہ کافیہ (مکتبہ رشیدیہ),درجہ ثالثہ,نحو,اصل حاشیہ,علامہ غیاث الدینؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/GhayatUlTahqeqRashedia.pdf
968,تحریر الصنباطی علی الکافیہ (مکتبہ رشیدیہ),درجہ ثالثہ,نحو,اصل حاشیہ,الشیخ احمد بن عبد الحق الصنباطیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/TahreerESanbatRashedia.pdf
969,الوافیہ شرح الکافیہ,درجہ ثالثہ,نحو,عربی شرح,الشیخ ضیاء الدین علی بن محمد الحسینیؒ,https://archive.org/download/darsenizamidarjasalsa3rdyear2/WAFIA_SHARH_KAFIA.pdf
970,شرح التہذیب (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ ثالثہ,منطق,اصل کتاب,علامہ عبد اللہ الیزدیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/SharhTahzeebAlBushraColor.pdf
971,شرح التہذیب مع حاشیہ (جامعہ اسلامیہ ڈابھیل),درجہ ثالثہ,منطق,اصل کتاب مع حاشیہ,علامہ عبد اللہ الیزدیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/SHARH-E-TAHZEEB-DABHEL.pdf
972,معارف التہذیب شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا عبد الحی استوریؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/MAARIF_AL_TEZEEB_SHARH_SHARH_E_TAHZEEB.pdf
973,التفہیم البالغ شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/AL_TAFHEEM_UL_BALIGH_SHARH_E_TAHZEEB.pdf
974,مفتاح التہذیب شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا مفتاح اللہؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/MIFTAH_UL_TAHZEEB.pdf
975,التسہیل والترتیب اردو شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا مشتاق احمد چرتھاولیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/AlTasheelUtTarteebUrduSharhSharhUtTahzeeb.pdf
976,انوار التہذیب اردو شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا انوار الحق قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/AnwaarUtTahzeebUrduSharhSharhUtTahzeeb.pdf
977,شرح اللبیب اردو شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا لبیب الرحمنؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/SarhUlLabibUrduSharhSharhUtTahzeeb.pdf
978,سراج التہذیب اردو شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا سراج احمدؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/SirajUtTahzeebUrduSharhSharhUtTahzeeb.pdf
979,التقریب علی شرح التہذیب (میر محمد کتب خانہ),درجہ ثالثہ,منطق,عربی حاشیہ,علامہ میر محمدؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/AlTaqreebMeerMuhammad.pdf
980,تحفۃ اللبیب شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا عبد اللطیفؒ,https://archive.org/download/darsenizamidarjasalsa3rdyear2/TOHFA_TUL_LABIB_SHARHA_SHARH_E_TAHZIB.pdf
981,تقریب التہذیب شرح شرح التہذیب,درجہ ثالثہ,منطق,اردو شرح,مولانا تقریب الحقؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/TAQRIB_AL_TAHZIB_SHARH_SHARH_E_TAHZIB.pdf
982,متن العقیدۃ الطحاویۃ (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ ثالثہ,عقائد,اصل کتاب,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/DarjaAlSadisa6thYear/MatanUlAqedaTitTahavi-AlBushraColo.pdf
983,العقیدۃ الطحاویۃ (اردو ترجمہ و تشریح),درجہ ثالثہ,عقائد,اردو ترجمہ و تشریح,امام ابو جعفر احمد بن محمد الطحاویؒ,https://archive.org/download/DarjaAlSadisa6thYear/AlAqidaAlTahawiaUrdu.pdf
984,آسان شرح عقیدہ طحاویہ,درجہ ثالثہ,عقائد,اردو شرح,مفتی سعید احمد پالنپوریؒ / علمائے کرام,https://archive.org/download/mufti-sm/ASAAN_SHARH_AQEEDA_TAHAWIYYA.pdf
985,تحفۂ عثمانیہ شرح عقیدہ طحاویہ,درجہ ثالثہ,عقائد,اردو شرح,مولانا مفتی محمد عثمان بستوی مدظلہ,https://www.mediafire.com/file/ek5on6na24qw381/TOHFA_E_USMANIA_SHARAH_AQEEDA_TAHAWIYA.pdf/file
986,نفحۃ العرب (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ ثالثہ,عربی ادب,اصل کتاب,مولانا محمد اعزاز علی امروہویؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/NafhaTulArabAlBushraColor.pdf
987,تکمیل الادب اردو شرح نفحۃ العرب,درجہ ثالثہ,عربی ادب,اردو شرح,مولانا مفتی عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/TakmeelUlAdabUrduSharhNafhaTulArab.pdf
988,اشرف الادب اردو شرح نفحۃ العرب,درجہ ثالثہ,عربی ادب,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/AshrafUlAdabUrduSharhNafhaTulArab.pdf
989,تحفۃ الادب اردو شرح نفحۃ العرب,درجہ ثالثہ,عربی ادب,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/TohfatUlAdabUrduSharhNafhaTulArab.pdf
990,نفحۃ الیمن فیما یزول بذکرہ الشجن,درجہ ثالثہ,عربی ادب,اصل کتاب,الشیخ احمد بن محمد الانصاری الیمنی الشروانیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/NafhaTulYamanMeerMuhammad.pdf
991,معلم الانشاء (الجزء الثانی),درجہ ثالثہ,انشاء,اصل کتاب,مولانا عبد الماجد ندویؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/MUALLIM_UL_INSHA_VOL_2.pdf
992,تسہیل الانشاء اردو شرح معلم الانشاء (جلد دوم),درجہ ثالثہ,انشاء,اردو شرح,مولانا مشتاق احمد چرتھاولیؒ,https://archive.org/download/DarsENizamiDarjaSalsa3rdYear/TasheelUlInshaUrduSharhMuallimUlInsha2.pdf
993,شرح ملا جامی (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ رابعہ,نحو,اصل کتاب,علامہ عبد الرحمن جامیؒ,https://archive.org/download/SHARHJAMI/SHARH_MULLA_JAMI_AL_BUSHRA_COLOR_02.pdf
994,شرح جامی (علوم اسلامیہ),درجہ رابعہ,نحو,اصل کتاب,علامہ عبد الرحمن جامیؒ,https://archive.org/download/SHARHJAMI/SHARH-JAMI-ULOOM-E-ISLAMIA.pdf
995,تحفۂ جامی اردو شرح شرح جامی,درجہ رابعہ,نحو,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TOHFA_E_JAMI.pdf
996,التسہیل السامی فی حل شرح الجامی (جلد اول),درجہ رابعہ,نحو,اردو شرح,مولانا سمیع الحقؒ,https://archive.org/download/al-tasheel/AL_TASHEEL_UL_SAMI_VOL_01.pdf
997,درسی تقریر اردو شرح شرح الجامی (جلد اول),درجہ رابعہ,نحو,اردو تقریر,مولانا محمد ظہورؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/DarsiTaqreerVol1UrduSharhSharhUlJami.pdf
998,الفہم النامی اردو شرح شرح الجامی,درجہ رابعہ,نحو,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AlFahmUnNamiUrduSharhSharhUlJami.pdf
999,المفتاح السامی اردو شرح شرح الجامی,درجہ رابعہ,نحو,اردو شرح,مولانا مفتاح اللہؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AlMiftahUsSamiUrduSharhSharhUlJami.pdf
1000,خلاصۃ الجامی اردو شرح شرح الجامی,درجہ رابعہ,نحو,اردو شرح,مولانا عبد الرحیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/KhulasatUlJamiUrduSharhSharhUlJami.pdf
1001,مصباح المعانی اردو شرح شرح الجامی,درجہ رابعہ,نحو,اردو شرح,مولانا مصباح الحسنؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/MisbahUlMaaniUrduSharhSharhUlJami.pdf
1002,لطائف المعانی اردو شرح شرح الجامی,درجہ رابعہ,نحو,اردو شرح,مولانا لطیف الرحمنؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/LataifUlMaaniUrduSharhSharhUlJami.pdf
1003,غرضِ جامی فی شرح الجامی (اردو جلد دوم),درجہ رابعہ,نحو,اردو شرح,مولانا غرض علیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/GharazEJamiFiSharhUlJamiUrduVol2.pdf
1004,بغیۃ الکامل فی شرح الفوائد الضیائیۃ (عربی شرح),درجہ رابعہ,نحو,عربی شرح,علامہ عبد الغفور اللاریؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/BUGHYATUL_KAMIL_ARABIC_SHARH_AL_HASIL_WAL_MAHSOOL_JAMI.pdf
1005,الحل الشافی شرح بحث الفاعل من شرح الجامی,درجہ رابعہ,نحو,اردو شرح,مولانا محمد شفیعؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AL_HALL_AL_SHAFI_SHARH_BAHTH_UL_FAIL_JAMI.pdf
1006,دروس البلاغۃ (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ رابعہ,بلاغت,اصل کتاب,علامہ حفنی ناصف و اخوانہؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/DurosUlBalaghaAlBushraColor.pdf
1007,تفہیم البلاغۃ اردو شرح دروس البلاغۃ,درجہ رابعہ,بلاغت,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TafheemUlBalaghaUrduSharhDuroosUlBalagha.pdf
1008,تہذیب البلاغۃ اردو شرح دروس البلاغۃ,درجہ رابعہ,بلاغت,اردو شرح,مولانا عبد الرحیمؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TahzeebUlBalaghaUrduSharhDuroosUlBalagha.pdf
1009,تحفۃ البلاغۃ اردو شرح دروس البلاغۃ,درجہ رابعہ,بلاغت,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TohfatUlBalaghaUrduSharhDuroosUlBalagha.pdf
1010,مفتاح البلاغۃ اردو شرح دروس البلاغۃ,درجہ رابعہ,بلاغت,اردو شرح,مولانا مفتاح الحقؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/MiftahUlBalaghaUrduSharhDuroosUlBalagha.pdf
1011,دروس البلاغۃ (میر محمد کتب خانہ),درجہ رابعہ,بلاغت,اصل کتاب,علامہ حفنی ناصف و اخوانہؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/DurosUlBalaghaMeerMuhammad.pdf
1012,شرح مقامات الحریری (عربی),درجہ رابعہ,عربی ادب,عربی شرح,علامہ ابو العباس الشریشیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/SharhMaqamatUlHareri.pdf
1013,المرآۃ اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا مفتی عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AlMiraatUrduSharhEMaqamaat.pdf
1014,دروسِ مقامات اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا محمد ظہورؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/DuroosEMaqamatUrduSharhMaqamat.pdf
1015,درسِ مقامات اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/DarsEMaqamatUrduSharhMaqamat.pdf
1016,الکمالات الوحیدیہ اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا وحید الزماں کیرانویؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AlKamalatUlWahidiaUrduSharhMaqamat.pdf
1017,تحفۃ المشتاق فی شرح مقامات الحریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا مشتاق احمد چرتھاولیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TuhfaTulMushtaaq.pdf
1018,تیسیرِ مقامات اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا مفتی جمیل احمد سکروڈھویؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TaiseerEMaqamatUrduSharhMaqamat.pdf
1019,الافاضات اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AlIfazatUrduSharhMaqamat.pdf
1020,تشریحات اردو شرح مقامات حریری,درجہ رابعہ,عربی ادب,اردو شرح,مولانا عبد الرحیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TashrihatUrduSharhMaqamat.pdf
1021,القطبی فی المنطق (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ رابعہ,منطق,اصل کتاب,علامہ قطب الدین الرازیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AlQutbiAlBushraColor.pdf
1022,تسہیلِ قطبی اردو شرح القطبی,درجہ رابعہ,منطق,اردو شرح,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TasheelEQutbiUrduSharhAlQutbi.pdf
1023,تسہیل القطبی (بحث تصدیقات),درجہ رابعہ,منطق,اردو شرح,مولانا مشتاق احمد چرتھاولیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TASHEEL_UL_QUTBI_TASDIQAAT.pdf
1024,اشرف القطبی اردو شرح القطبی,درجہ رابعہ,منطق,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/AshrafUlQutbi2.pdf
1025,تیسیرِ قطبی اردو شرح القطبی,درجہ رابعہ,منطق,اردو شرح,مولانا مفتی جمیل احمد سکروڈھویؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TaiseerEQutbi.pdf
1026,خلاصِ قطبی اردو خلاصہ و شرح,درجہ رابعہ,منطق,اردو خلاصہ,مولانا محمد انور شاہ قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/KHULAS_E_QUTBI.pdf
1027,الہام الباری فی تسہیل القطبی,درجہ رابعہ,منطق,اردو شرح,مولانا الہام اللہؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/IlhamUlBariFiTasheelAlQutbi.pdf
1028,خلاصۃ القطبی اردو شرح القطبی,درجہ رابعہ,منطق,اردو شرح,مولانا عبد الرحیمؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/KHULASATUL_QUTBI.pdf
1029,تفہیمِ قطبی اردو شرح القطبی,درجہ رابعہ,منطق,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaRabea4thYear/TAFHIM_E_QUTBI.pdf
1030,قطبی نوٹس و تشریحات,درجہ رابعہ,منطق,درسی نوٹس,علمائے درسِ نظامی,https://archive.org/download/zabooks/QUTBI_NOTES.pdf
1031,حل شدہ پرچہ جات (درجہ رابعہ),درجہ رابعہ,امتحانات,حل شدہ پرچہ جات,وفاق المدارس العربیہ پاکستان,https://archive.org/download/DarsENizamiDarjaRabea4thYear/HAL_SHUDA_PARCHAJAAT_DARJA_RABIA.pdf
1032,آثار السنن (اردو ترجمہ),درجہ خامسہ,حدیث,اردو ترجمہ,علامہ ظہیر احسن شوق نیمویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AasarUsSunanUrdu.pdf
1033,درسِ آثار السنن اردو شرح آثار السنن,درجہ خامسہ,حدیث,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/DarsEAasarUsSunanUrduSharhAasarUsSunan.pdf
1034,تسہیل الآثار اردو شرح آثار السنن,درجہ خامسہ,حدیث,اردو شرح,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/TasheelUlAasarUrduSharhAasarUsSunan.pdf
1035,توضیح السنن اردو شرح آثار السنن (جلد دوم),درجہ خامسہ,حدیث,اردو شرح,مولانا محمد امینؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/TaozihUsSunanUrduSharhAasarUsSunan2.pdf
1036,الہدایہ فی الفروع (جلد اول - مکتبہ رشیدیہ),درجہ خامسہ,فقہ,اصل کتاب,امام برہان الدین علی بن ابی بکر المرغینانیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AlHidayahRashedaiVol1Rashedia.pdf
1037,احسن الہدایہ اردو شرح الہدایہ (جلد دوم),درجہ خامسہ,فقہ,اردو شرح,مولانا عبد الحلیم قاسمیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AhsanUlHidayaUrduSharhAlHidaya2.pdf
1038,اشرف الہدایہ اردو شرح الہدایہ (جلد دوم),درجہ خامسہ,فقہ,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/darrs1/ASHRAF_UL_HIDAYAH_VOL_02.pdf
1039,عین الہدایہ اردو شرح الہدایہ (جلد دوم),درجہ خامسہ,فقہ,اردو شرح,مولانا سید امیر علیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/EainUlHidayaUrduSharhAlHidayaVol2.pdf
1040,الہدایہ شرح بدایۃ المبتدی (جلد دوم),درجہ خامسہ,فقہ,اصل کتاب,امام برہان الدین علی بن ابی بکر المرغینانیؒ,https://archive.org/download/oct_22/AL_HIDAYAH_SHARH_BIDAYATUL_MUBTADI_VOL_02.pdf
1041,اثمار الہدایہ شرح الہدایہ (جلد اول),درجہ خامسہ,فقہ,اردو شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/ASMAAR_UL_HIDAYA_VOL_01.pdf
1042,ہدایہ پر اعتراضات کا علمی جائزہ,درجہ خامسہ,فقہ,تحقیقی کتاب,مولانا مفتی عبد الواحدؒ,https://archive.org/download/jan_23/HIDAYA_PAR_ITRAZAAT_KA_JAIZA.pdf
1043,الہدایہ مع احادیثہا و اصولہا (جلد دوم),درجہ خامسہ,فقہ,تحقیقی شرح,مولانا سمیر الدین قاسمیؒ,https://archive.org/download/maulana-samiruddin-qasmi/AL_HIDAYAH_MAA_AHADITHIHA_WA_USOOLIHA_VOL_02.pdf
1044,الحسامی النظامی (میر محمد کتب خانہ),درجہ خامسہ,اصول فقہ,اصل کتاب,علامہ حسام الدین اخسیکثیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AlHusamiAlNizamiMeerMuhammad.pdf
1045,حاشیہ مولانا یعقوب علی الحسامی,درجہ خامسہ,اصول فقہ,اصل حاشیہ,مولانا محمد یعقوب نانوتویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AlHashiaLiMaulanaYaqoob.pdf
1046,غایۃ التحقیق حاشیہ حسامی,درجہ خامسہ,اصول فقہ,اصل حاشیہ,علامہ غیاث الدینؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/GhayatUlTahqeq.pdf
1047,فیضِ سبحانی اردو شرح الحسامی (جلد اول),درجہ خامسہ,اصول فقہ,اردو شرح,مولانا محمد سبحانؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear2/FAIZ_E_SUBHANI_01.pdf
1048,فیضِ سبحانی اردو شرح الحسامی (جلد دوم),درجہ خامسہ,اصول فقہ,اردو شرح,مولانا محمد سبحانؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear2/FAIZ_E_SUBHANI_02.pdf
1049,الفیض الحجاز اردو شرح الحسامی,درجہ خامسہ,اصول فقہ,اردو شرح,مولانا حجاز علی قاسمیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AL-FAIZ-UL-HIJAZ-URDU-SHARH-AL-HUSAMI.pdf
1050,ایضاح الحسامی اردو شرح الحسامی (جلد دوم),درجہ خامسہ,اصول فقہ,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/EizahUlHusamiUrduSharhAlHusami2.pdf
1051,مصباح الحسامی اردو شرح الحسامی,درجہ خامسہ,اصول فقہ,اردو شرح,مولانا مصباح الحقؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/MisbahUlHusamiUrduSharhAlHusami.pdf
1052,درسِ حسامی اردو شرح الحسامی,درجہ خامسہ,اصول فقہ,اردو تقریر,مولانا محمد ظہورؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/DaesEHusamiUrduSharhAlHusami.pdf
1053,اصطلاحاتِ حسامی مع فرہنگ,درجہ خامسہ,اصول فقہ,فرہنگ و تسہیل,مولانا مشتاق احمد چرتھاولیؒ,https://archive.org/download/aug-21/ISTILAHAT_E_HUSAMI.pdf
1054,مختصر المعانی (جلد دوم - مکتبۃ البشریٰ رنگین ایڈیشن),درجہ خامسہ,بلاغت,اصل کتاب,علامہ سعد الدین مسعود بن عمر التفتازانیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/MukhtasarUlMaaniVol2AlBushraColor.pdf
1055,تکمیل الامانی اردو شرح مختصر المعانی (جلد دوم),درجہ خامسہ,بلاغت,اردو شرح,مولانا مفتی عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/TakmeelAmaniUrduSharhMukhtasarUlMaani2.pdf
1056,تکملۂ تکمیل الامانی شرح مختصر المعانی,درجہ خامسہ,بلاغت,اردو شرح,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear2/TAKMILA_E_TAKMEEL_UL_AMANI.pdf
1057,نیل الامانی اردو شرح مختصر المعانی,درجہ خامسہ,بلاغت,اردو شرح,مولانا مفتی اشرف علی قاسمیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/NailUlAmaniUrduSharhMukhtasarUlMaani.pdf
1058,درسی تقریر اردو شرح مختصر المعانی,درجہ خامسہ,بلاغت,اردو تقریر,مولانا محمد ظہورؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/DarsiTaqreerUrduSharhMukhtasarUlMaani.pdf
1059,ایضاح المعانی اردو شرح مقدمہ مختصر المعانی,درجہ خامسہ,بلاغت,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/EizahUlMaaniUrduSharhMuqaddemaMukhtasarUlMaani.pdf
1060,خلاصۂ مختصر المعانی اردو,درجہ خامسہ,بلاغت,اردو خلاصہ,مولانا عبد الرحیم قاسمیؒ,https://archive.org/download/121.20/KHULASA_E_MUKHTASAR_AL_MAANI.pdf
1061,حل العویص اردو شرح تلخیص المفتاح,درجہ خامسہ,بلاغت,اردو شرح,مولانا محمد اویس قاسمیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/HALL_UL_AWEEZ_URDU_SHARH_TALKHEES.pdf
1062,الانتباہات المفیدہ (عربی ترجمہ),درجہ خامسہ,عقائد,اصل کتاب,حکیم الامت مولانا اشرف علی تھانویؒ,https://archive.org/download/BestUrduBooks1017/AL-INTEBAHAAT-UL-MUFEEDAH-ARABIC.pdf
1063,درسِ ہدایۃ الحکمۃ اردو شرح,درجہ خامسہ,منطق,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/Feb2022/DARS_E_HIDAYATUL_HIKMAT.pdf
1064,اساس الحکمۃ اردو شرح ہدایۃ الحکمۃ,درجہ خامسہ,منطق,اردو شرح,مولانا اساس الحق قاسمیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AsasUlHikmatUrduSharhHidayatUlHikmat.pdf
1065,تحقیق الحکمۃ اردو شرح ہدایۃ الحکمۃ,درجہ خامسہ,منطق,اردو شرح,مولانا عبد الرحیمؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/TahqiqUlHikmatUrduSharhHidayatUlHikmat.pdf
1066,التحفۃ المرضیہ اردو شرح الہدایۃ السعیدیۃ,درجہ خامسہ,منطق,اردو شرح,مولانا رضا الحقؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AlTofatUlMarziaUrduSharhAlHadyatUsSaeedia.pdf
1067,الہدایۃ السعیدیۃ (اردو ترجمہ و تسہیل),درجہ خامسہ,منطق,اردو ترجمہ,علامہ فضل حق خیر آبادیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AlHadyatUsSaeediaUrdu.pdf
1068,معین الفلسفہ (مکتبۃ البشریٰ رنگین ایڈیشن),درجہ خامسہ,منطق,اصل کتاب,مولانا معین الدینؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/MueenUlFalsafaAlBushraColor.pdf
1069,توضیح القصائد المنتخبۃ,درجہ خامسہ,عربی ادب,درسی تشریح,مولانا محمد اعزاز علی امروہویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear2/TAUZEEH_UL_QASAID_AL_MUNTAKHABA.pdf
1070,التوشیحات علی سبع المعلقات,درجہ خامسہ,عربی ادب,اصل شرح,علامہ ابو عبد اللہ الحسین بن احمد الزوزنیؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/AlTaoshehatAlaSabIlMuallaqat.pdf
1071,اردو ترجمہ و شرح سبعہ معلقات,درجہ خامسہ,عربی ادب,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDarjaKhamsa5thYear/UrduTarjamaOSharhSabaulMuallaqat.pdf
